vE_Glk	EX_glc__D_e
vE_Pgi	PGI
vE_Pfk	PFK
vE_Fbp	FBP
vE_Fba	FBA
vE_Eno	ENO
vE_Tpi	TPI
vE_Pgk	PGK
vE_Gpm	PGM
vE_Gdh	GAPD
vE_Pyk	PYK
vE_Pps	PPS
vE_Pdh	PDH
vE_Pta	PTAr
vE_Ack	ACKr
vE_Acs	ACS
vE_Cs	CS
vE_Icdh	ICDHyr
vE_akgdh	AKGDH
vE_Sdh	SUCDi
vE_Fum	FUM
vE_Mdh	MDH
vE_MaeB	ME1
vE_Pck	PPCK
vE_Ppc	PPC
vE_Icl	ICL
vE_Ms	MALS
vE_AceKki	ACEKKI
vE_AceKph	ACEKPH
vE_G6pdh	G6PDH2r
vE_Pgl	PGL
vE_Edd	EDD
vE_Eda	EDA
vE_6Pgdh	GND
vE_R5pi	RPI
vE_Rpe	RPE
vE_Tkt1	TKT1
vE_Tkt2	TKT2
vE_Tal	TALA
vE_Cya	CYA
vE_cAMPdegr	CAMPDEGR
